MP:0001186	3	1	7	2	0	4	0	0	1	0	1	0	2	0	0	35	4	
MP:0002006	4	5	32	80	2	21	10	5	1	0	0	1	5	3	0	188	5	
MP:0003631	140	25	58	49	6	49	67	35	54	2	8	33	15	27	17	940	141	
MP:0005367	52	16	23	23	4	29	25	16	14	1	3	22	10	9	4	410	89	
MP:0005369	64	12	15	15	3	6	6	9	5	0	0	8	4	3	2	199	45	
MP:0005370	11	6	0	5	1	4	4	10	3	0	2	1	0	8	9	98	15	
MP:0005371	46	6	12	25	3	12	7	10	3	0	1	2	3	2	3	185	22	
MP:0005375	27	5	2	5	1	4	3	3	1	0	1	1	2	1	0	71	22	
MP:0005376	185	30	27	47	5	67	38	30	18	0	3	29	16	26	26	858	127	
MP:0005377	64	10	11	11	3	4	11	3	16	0	0	6	1	7	6	259	40	
MP:0005378	26	9	31	25	1	33	6	29	5	1	0	2	17	3	5	332	8	
MP:0005379	53	11	14	21	4	41	21	13	17	3	2	22	12	5	6	324	58	
MP:0005380	22	3	2	9	4	8	6	1	8	0	0	8	1	3	0	128	49	
MP:0005381	52	3	1	18	2	14	5	9	8	2	0	5	4	7	8	195	47	
MP:0005382	98	15	24	14	2	12	16	35	21	0	0	13	2	4	11	350	25	
MP:0005384	30	5	14	11	1	12	10	14	4	1	1	12	6	6	4	209	48	
MP:0005385	142	26	42	77	6	39	36	58	47	1	1	26	8	23	10	788	115	
MP:0005386	184	36	82	93	11	50	29	41	48	3	7	30	9	12	17	873	71	
MP:0005387	276	47	64	41	12	60	62	69	37	4	4	27	22	44	18	1092	83	
MP:0005388	21	4	3	8	1	6	10	7	6	2	0	8	4	5	5	150	37	
MP:0005389	77	11	16	30	4	17	22	19	12	0	0	0	7	4	17	322	36	
MP:0005390	180	35	38	49	6	45	23	42	26	1	4	13	9	5	12	664	76	
MP:0005391	76	14	24	30	3	13	11	11	17	1	2	10	3	3	4	286	44	
MP:0005397	33	11	14	6	0	22	25	31	18	1	1	8	10	14	10	298	16	
MP:0010768	18	11	44	28	8	42	3	32	34	1	1	25	8	1	13	432	10	
MP:0010771	23	5	7	2	1	7	4	2	3	0	1	4	1	1	0	112	28
